FEATURE,TYPE,STRIKE,DIP_DIR,DIP,PLUNGE,TREND,RANK,PLOTRANK,EVENT,STRUCTYPEI,ROT_ANGLE,SYMBOL,raster_z,X,Y
"Metamorphic foliation, showing strike and dip",inclined,"350","80","80","0","0","0","0",,FOIN,"350","Metamorphic foliation, showing strike and dip; inclined","430",317188.454,6644917.903
"Metamorphic foliation, showing strike and dip",vertical,"350","80","90","0","0","0","0",,FOVE,"350","Metamorphic foliation, showing strike and dip; vertical","423",318009.691,6644303.329
"Metamorphic foliation, showing strike and dip",vertical,"155","245","90","0","0","0","0",,FOVE,"155","Metamorphic foliation, showing strike and dip; vertical","420",331716.686,6643612.462
"Metamorphic foliation, showing strike and dip",inclined,"350","80","30","0","0","0","0",,FOIN,"350","Metamorphic foliation, showing strike and dip; inclined","459",293288.188,6642530.868
"Metamorphic foliation, showing strike and dip",inclined,"340","70","80","0","0","0","0",,FOIN,"340","Metamorphic foliation, showing strike and dip; inclined","458",294456.689,6642095.264
"Metamorphic foliation, showing strike and dip",inclined,"335","65","80","0","0","0","0",,FOIN,"335","Metamorphic foliation, showing strike and dip; inclined","461",294138.312,6642049.910
"Metamorphic foliation, showing strike and dip",inclined,"5","95","70","0","0","0","0",,FOIN,"5","Metamorphic foliation, showing strike and dip; inclined","451",294767.867,6641899.770
"Metamorphic foliation, showing strike and dip",inclined,"55","145","-99","0","0","0","0",,FOIN,"55","Metamorphic foliation, showing strike and dip; inclined","449",293450.626,6641860.277
"Metamorphic foliation, showing strike and dip",inclined,"5","95","70","0","0","0","0",,FOIN,"5","Metamorphic foliation, showing strike and dip; inclined","459",295240.747,6641845.851
"Metamorphic foliation, showing strike and dip",vertical,"135","225","90","0","0","0","0",,FOVE,"135","Metamorphic foliation, showing strike and dip; vertical","448",287567.570,6641542.446
"Metamorphic foliation, showing strike and dip",inclined,"325","55","25","0","0","0","0",,FOIN,"325","Metamorphic foliation, showing strike and dip; inclined","438",294061.471,6640764.368
"Metamorphic foliation, showing strike and dip",vertical,"154","64","90","0","0","0","0",,FOVE,"154","Metamorphic foliation, showing strike and dip; vertical","450",289605.462,6640404.888
"Metamorphic foliation, showing strike and dip",inclined,"90","180","-99","0","0","0","0",,FOIN,"90","Metamorphic foliation, showing strike and dip; inclined","437",294322.511,6640386.251
"Metamorphic foliation, showing strike and dip",inclined,"135","225","60","0","0","0","0",,FOIN,"135","Metamorphic foliation, showing strike and dip; inclined","452",313523.996,6640542.414
