fault_name,X,Y,Z,gx,gy,gz
F1,321630.6179508817,6630259.867852566,429.5217391304348,0.0,-0.9103948731841348,-0.0021395330294890886
Zuleika Fault,303070.507700262,6630769.494972782,416.632184296875,-0.3879650680706753,-0.2031001755993587,-0.8990180335390531
Boorara Fault,335444.1602242377,6640885.244332626,414.073428125,0.427567365205158,0.1915233642516974,-0.8834619115486703
Boorara Fault,335444.1602242377,6640885.244332626,414.073428125,0.4275673651850403,0.1915233642379018,-0.8834619115613974
Black Flag Fault,332297.7383433957,6623995.222439265,393.25110750000005,0.9140722025486652,-0.197922411112036,0.16937777703196
