X,Y,Z,fault_name
281642.4496,6650736.231,437.00772,Zuleika Fault
281851.526,6650256.13,438.82181,Zuleika Fault
282206.4257,6649641.88,434.08499,Zuleika Fault
282783.1672,6648643.674,438.85892,Zuleika Fault
283051.7416,6648178.834,442.98447,Zuleika Fault
282532.6711,6649077.225,433.10806,Zuleika Fault
281144.1831,6651880.399,441.04135,Zuleika Fault
283715.3325,6647187.215,448.88644,Zuleika Fault
287164.4913,6642861.948,465.00229,Zuleika Fault
282036.2025,6649936.498,431.97836,Zuleika Fault
282374.1271,6649351.628,437.03934,Zuleika Fault
283213.8162,6647898.32,446.22791,Zuleika Fault
289129.2752,6640869.679,455.06265,Zuleika Fault
294088.5869,6637693.836,420.52579,Zuleika Fault
293314.4427,6638075.7,421.9043,Zuleika Fault
292527.5862,6638503.771,422.94803,Zuleika Fault
291318.0997,6639208.302,429.0773,Zuleika Fault
291740.7297,6638931.842,426.06104,Zuleika Fault
290503.6503,6639741.067,439.09677,Zuleika Fault
289819.505,6640251.847,444.11279,Zuleika Fault
289667.1434,6640388.227,448.11298,Zuleika Fault
332086.0489,6654099.462,393.98462,Boorara Fault
332261.6986,6653574.859,398.02805,Boorara Fault
332407.8543,6653037.952,401.05844,Boorara Fault
332554.9069,6652497.75,402.95584,Boorara Fault
332786.4332,6651635.47,409.0162,Boorara Fault
332665.6779,6652090.83,405.1156,Boorara Fault
332889.3131,6651198.028,414.84967,Boorara Fault
333003.6031,6650712.07,413.11771,Boorara Fault
333121.4332,6650121.949,418.89935,Boorara Fault
333230.132,6649396.444,424.08099,Boorara Fault
333084.6486,6650367.467,416.94943,Boorara Fault
333168.9107,6649805.063,420.11826,Boorara Fault
333283.3009,6649041.571,426.07465,Boorara Fault
333375.6155,6648425.422,433.04684,Boorara Fault
333446.7248,6647890.412,437.81445,Boorara Fault
333517.8341,6647355.401,441.25259,Boorara Fault
333585.1986,6647059.831,441.83636,Boorara Fault
333656.8607,6646745.403,443.90445,Boorara Fault
333795.8872,6646135.406,445.98367,Boorara Fault
333889.0545,6645562.776,442.87433,Boorara Fault
333982.2218,6644990.147,439.07642,Boorara Fault
334127.5012,6644097.223,436.03329,Boorara Fault
334240.8115,6643170.663,434.9642,Boorara Fault
334323.1043,6642402.774,435.09262,Boorara Fault
334385.2498,6641822.884,434.95459,Boorara Fault
334560.4895,6640808.628,429.8782,Boorara Fault
334735.7293,6639794.373,428.7662,Boorara Fault
335027.2413,6638696.972,430.96533,Boorara Fault
335207.4679,6638065.208,432.18533,Boorara Fault
335366.0343,6637557.445,432.77411,Boorara Fault
335607.6567,6636783.719,440.06949,Boorara Fault
335888.9858,6635882.844,432.12006,Boorara Fault
336074.9834,6635364.618,432.9166,Boorara Fault
336406.0477,6634514.15,427.15189,Boorara Fault
336983.6299,6633574.393,424.7236,Boorara Fault
337398.5294,6632950.012,417.99149,Boorara Fault
337813.4288,6632325.632,416.07556,Boorara Fault
338184.4244,6631714.264,418.80289,Boorara Fault
338555.42,6631102.896,403.10156,Boorara Fault
338797.212,6630549.143,402.83914,Boorara Fault
339150.3145,6629688.128,396.15698,Boorara Fault
339354.3566,6629124.887,390.74255,Boorara Fault
339039.004,6629995.391,408.01285,Boorara Fault
339669.7092,6628254.384,392.12891,Boorara Fault
340415.5244,6626852.75,378.13434,Boorara Fault
341291.9843,6625370.405,235.94852,Boorara Fault
342067.7375,6624172.652,365.91724,Boorara Fault
340853.7544,6626111.577,327.03909,Boorara Fault
332086.0489,6654099.462,393.98462,Boorara Fault
332261.6986,6653574.859,398.02805,Boorara Fault
332407.8543,6653037.952,401.05844,Boorara Fault
332554.9069,6652497.75,402.95584,Boorara Fault
332786.4332,6651635.47,409.0162,Boorara Fault
332665.6779,6652090.83,405.1156,Boorara Fault
332889.3131,6651198.028,414.84967,Boorara Fault
333003.6031,6650712.07,413.11771,Boorara Fault
333121.4332,6650121.949,418.89935,Boorara Fault
333230.132,6649396.444,424.08099,Boorara Fault
333084.6486,6650367.467,416.94943,Boorara Fault
333168.9107,6649805.063,420.11826,Boorara Fault
333283.3009,6649041.571,426.07465,Boorara Fault
333375.6155,6648425.422,433.04684,Boorara Fault
333446.7248,6647890.412,437.81445,Boorara Fault
333517.8341,6647355.401,441.25259,Boorara Fault
333585.1986,6647059.831,441.83636,Boorara Fault
333656.8607,6646745.403,443.90445,Boorara Fault
333795.8872,6646135.406,445.98367,Boorara Fault
333889.0545,6645562.776,442.87433,Boorara Fault
333982.2218,6644990.147,439.07642,Boorara Fault
334127.5012,6644097.223,436.03329,Boorara Fault
334240.8115,6643170.663,434.9642,Boorara Fault
334323.1043,6642402.774,435.09262,Boorara Fault
334385.2498,6641822.884,434.95459,Boorara Fault
334560.4895,6640808.628,429.8782,Boorara Fault
334735.7293,6639794.373,428.7662,Boorara Fault
335027.2413,6638696.972,430.96533,Boorara Fault
335207.4679,6638065.208,432.18533,Boorara Fault
335366.0343,6637557.445,432.77411,Boorara Fault
335607.6567,6636783.719,440.06949,Boorara Fault
335888.9858,6635882.844,432.12006,Boorara Fault
336074.9834,6635364.618,432.9166,Boorara Fault
336406.0477,6634514.15,427.15189,Boorara Fault
336983.6299,6633574.393,424.7236,Boorara Fault
337398.5294,6632950.012,417.99149,Boorara Fault
337813.4288,6632325.632,416.07556,Boorara Fault
338184.4244,6631714.264,418.80289,Boorara Fault
338555.42,6631102.896,403.10156,Boorara Fault
338797.212,6630549.143,402.83914,Boorara Fault
339150.3145,6629688.128,396.15698,Boorara Fault
339354.3566,6629124.887,390.74255,Boorara Fault
339039.004,6629995.391,408.01285,Boorara Fault
339669.7092,6628254.384,392.12891,Boorara Fault
340415.5244,6626852.75,378.13434,Boorara Fault
341291.9843,6625370.405,235.94852,Boorara Fault
342067.7375,6624172.652,365.91724,Boorara Fault
340853.7544,6626111.577,327.03909,Boorara Fault
335207.4679,6638065.208,432.18533,Black Flag Fault
335060.2018,6637317.653,438.10489,Black Flag Fault
334912.9357,6636570.097,438.15652,Black Flag Fault
334779.0941,6635608.874,434.12338,Black Flag Fault
334576.5581,6634339.648,426.97028,Black Flag Fault
