field_1,X,Y,Z,fault_name
"1784",332657.259341591736302,6623814.889989030547440,378.981629999999996,Black Flag Fault
"1785",332006.985807870107237,6622623.383451761677861,374.000000000000000,Black Flag Fault
"1786",332941.863510570547078,6624372.381905356422067,385.013919999999985,Black Flag Fault
"1787",333549.229500000423286,6626301.913200000301003,395.833340000000021,Black Flag Fault
"1788",333725.761344076017849,6627846.128658395260572,400.929140000000018,Black Flag Fault
"1789",334029.710833797231317,6629252.618307378143072,403.169460000000015,Black Flag Fault
"1790",331268.931424999842420,6621332.779749999754131,337.000000000000000,Black Flag Fault
"1791",330431.308250069036148,6619826.665669332258403,343.000000000000000,Black Flag Fault
"1792",329829.364887329225894,6617612.121625892817974,351.000000000000000,Black Flag Fault
"1793",329534.559100000187755,6615567.146600000560284,381.000000000000000,Black Flag Fault
"1794",329123.427531085733790,6611488.868081434629858,372.000000000000000,Black Flag Fault
"1795",329271.802035838190932,6613459.871722594834864,367.000000000000000,Black Flag Fault
"1796",328864.091735974012408,6609819.522438410669565,373.512819999999977,Black Flag Fault
"1797",328497.715499999932945,6608082.389299999922514,380.163760000000025,Black Flag Fault
"1798",328270.163750315085053,6606500.628407601267099,367.078610000000026,Black Flag Fault
"1799",328042.612000630237162,6604918.867515202611685,366.013149999999996,Black Flag Fault
