X,Y,Z
332514.76850590884,6651124.166908905,-70.42253521125531
,,
332626.4458140365,6650672.823204142,-70.42253521125531
,,
332358.1998778691,6651756.52668818,-70.42253521125531
,,
,,
332201.50558506645,6652388.886467455,-70.42253521125531
,,
,,
332044.68562750093,6653021.24624673,-70.42253521125531
,,
,,
333172.52687443164,6647962.36801253,-70.42253521125531
,,
333259.9508833217,6647345.12828596,-70.42253521125531
,,
333083.6432209881,6648594.727791805,-70.42253521125531
,,
,,
332983.73006797093,6649227.08757108,-70.42253521125531
,,
,,
332827.5384342199,6649859.447350355,-70.42253521125531
,,
,,
332671.2114691857,6650491.80712963,-70.42253521125531
,,
,,
,,
,,
,,
,,
,,
,,
333814.2001533047,6643535.849557605,-70.42253521125531
,,
333893.45595260686,6643070.254214139,-70.42253521125531
,,
333720.396241068,6644168.20933688,-70.42253521125531
,,
,,
333627.317317848,6644800.569116155,-70.42253521125531
,,
,,
333534.9537171244,6645432.92889543,-70.42253521125531
,,
,,
333443.3054388973,6646065.288674705,-70.42253521125531
,,
,,
333352.3531501262,6646697.64845398,-70.42253521125531
,,
,,
333262.09685081104,6647330.008233255,-70.42253521125531
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
334463.8386448408,6640374.0506612295,-70.42253521125531
,,
334526.9610218921,6640080.092521038,-70.42253521125531
,,
334328.1593670014,6641006.410440505,-70.42253521125531
,,
,,
334192.6057539248,6641638.77021978,-70.42253521125531
,,
,,
334057.1971386515,6642271.129999055,-70.42253521125531
,,
,,
333921.9238546614,6642903.48977833,-70.42253521125531
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
338782.13422416477,6629623.934413554,-70.42253521125531
,,
338961.4965068886,6629299.099331015,-70.42253521125531
,,
,,
339477.88201716106,6628359.214855004,-70.42253521125531
,,
339595.0015761738,6628145.063961736,-70.42253521125531
,,
339130.87327422283,6628991.574634279,-70.42253521125531
,,
,,
,,
,,
340166.73758123885,6627094.495296454,-70.42253521125531
,,
340228.506645459,6626980.462888747,-70.42253521125531
,,
339823.1604529795,6627726.855075729,-70.42253521125531
,,
,,
,,
,,
,,
,,
340768.7201280793,6625197.415958629,-704.2253521126622
340862.0117147442,6625197.415958629,-563.2750417145071
340862.0117147442,6625054.84167734,-704.2253521126622
,,
340848.7975816004,6625829.775737904,-70.42253521125531
,,
340862.0117147442,6625805.1513763815,-70.42253521125531
,,
,,
340508.6037354189,6626462.135517179,-70.42253521125531
,,
,,
,,
,,
,,
,,
,,
,,
341181.1035472806,6624565.056179354,-704.2253521126622
341495.51678402943,6624565.056179354,-227.74172500823624
341495.51678402943,6624098.02312826,-704.2253521126622
,,
341187.3094532633,6625197.415958629,-70.42253521125531
,,
341495.51678402943,6624724.564533711,-70.42253521125531
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
342027.57172358216,6623300.336620804,-704.2253521126622
342129.02185331465,6623300.336620804,-550.3478520352946
342129.02185331465,6623147.177337716,-704.2253521126622
,,
342023.78244765504,6623932.696400079,-70.42253521125531
,,
342129.02185331465,6623775.146801751,-70.42253521125531
341606.30477229663,6623932.696400079,-704.2253521126622
,,
341599.0645486502,6624565.056179354,-70.42253521125531
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
342444.9624002586,6622667.976841529,-704.2253521126622
342762.5269225999,6622667.976841529,-221.98200225828623
342762.5269225999,6622182.938673429,-704.2253521126622
,,
342444.7980694148,6623300.336620804,-70.42253521125531
,,
342762.5269225999,6622819.437892787,-70.42253521125531
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
343275.9061450832,6622035.617062254,-70.42253521125531
,,
343396.03199188504,6621850.992245105,-70.42253521125531
,,
342862.1597465306,6622667.976841529,-70.42253521125531
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
343687.16824793874,6621403.257282979,-70.42253521125531
,,
344029.53706117027,6620873.167726185,-70.42253521125531
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
344535.8983899723,6620138.537724429,-70.42253521125531
,,
344663.0421304555,6619952.552392008,-70.42253521125531
,,
344100.43132048025,6620770.897503704,-70.42253521125531
,,
,,
,,
,,
,,
,,
,,
,,
,,
344966.48386675207,6619506.177945154,-70.42253521125531
,,
345296.5471997407,6619055.934231462,-70.42253521125531
,,
,,
,,
,,
,,
,,
,,
,,
,,
345513.7635756548,6618241.458386604,-704.2253521126622
345930.05226902594,6618241.458386604,-124.05764888708654
345930.05226902594,6617747.948357447,-704.2253521126622
,,
345429.40385367523,6618873.818165879,-70.42253521125531
,,
345930.05226902594,6618286.625563831,-70.42253521125531
,,
,,
,,
,,
,,
,,
,,
,,
,,
346368.9316201564,6616344.379048779,-1971.830985915476
346563.5573383111,6616344.379048779,-1617.9589150656975
346563.5573383111,6616111.653744879,-1971.830985915476
,,
346189.0086792597,6616976.738828054,-1338.0281690140691
346563.5573383111,6616976.738828054,-724.9407701089222
346563.5573383111,6616527.93282199,-1338.0281690140691
,,
,,
346503.9729076612,6617609.098607329,-70.42253521125531
,,
346563.5573383111,6617538.486899798,-70.42253521125531
346563.5573383111,6616991.820284582,-704.2253521126622
346046.77550070954,6617609.098607329,-704.2253521126622
,,
,,
345968.4380208285,6618241.458386604,-70.42253521125531
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
347076.75289691024,6615079.659490229,-2605.633802816883
347197.0624075963,6615079.659490229,-2385.98642214921
347197.0624075963,6614935.4931165995,-2605.633802816883
,,
346896.83962253376,6615712.019269504,-1971.830985915476
347197.0624075963,6615712.019269504,-1418.1196857506002
347197.0624075963,6615350.836236395,-1971.830985915476
,,
,,
347101.8955160083,6616344.379048779,-704.2253521126622
347197.0624075963,6616344.379048779,-574.1024017333839
347197.0624075963,6616229.449279935,-704.2253521126622
347197.0624075963,6615764.133758759,-1338.0281690140691
346716.2400252215,6616344.379048779,-1338.0281690140691
,,
,,
,,
347036.04718025436,6616976.738828054,-70.42253521125531
,,
347197.0624075963,6616784.558809075,-70.42253521125531
346576.1431476405,6616976.738828054,-704.2253521126622
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
347785.63749088853,6613814.939931679,-3239.43661971829
347830.56747688155,6613814.939931679,-3156.9436570288235
347830.56747688155,6613761.136859639,-3239.43661971829
,,
347603.51058338117,6614447.299710954,-2605.633802816883
347830.56747688155,6614447.299710954,-2184.248642182669
347830.56747688155,6614173.816843156,-2605.633802816883
,,
,,
347760.6398695938,6615079.659490229,-1338.0281690140691
347830.56747688155,6615079.659490229,-1222.6366660964195
347830.56747688155,6614994.3908841275,-1338.0281690140691
347830.56747688155,6614584.895085289,-1971.830985915476
347421.8380023242,6615079.659490229,-1971.830985915476
,,
347624.0712718939,6615712.019269504,-704.2253521126622
347830.56747688155,6615712.019269504,-423.5837828945005
347830.56747688155,6615460.767800196,-704.2253521126622
347240.107422146,6615712.019269504,-1338.0281690140691
,,
,,
,,
347564.6898381686,6616344.379048779,-70.42253521125531
,,
347830.56747688155,6616024.783397394,-70.42253521125531
,,
,,
,,
,,
,,
,,
,,
,,
